,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd,file,0
121,4/28/2023 9:15,TH-10,Phra Nakhon,Bangkok,Thailand,93,p2,32,1011,60,2.4,206,df (11),
122,4/28/2023 9:15,TH-11,Bang Phli,Samut Prakan,Thailand,82,p2,32,1011,66,1.54,0,df (11),
123,4/28/2023 9:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,84,p2,31,1012,64,2.06,50,df (11),
124,4/28/2023 9:17,TH-13,Khlong Luang,Pathum Thani,Thailand,88,p2,32,1012,76,2.06,50,df (11),
125,4/28/2023 9:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,135,p2,31,1011,53,2.23,203,df (11),
126,4/28/2023 9:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,135,p2,31,1011,53,2.3,201,df (11),
127,4/28/2023 9:18,TH-16,Ban Mi,Lop Buri,Thailand,103,p2,32,1011,54,2.4,204,df (11),
128,4/28/2023 9:19,TH-20,Na Kluea,Chon Buri,Thailand,85,p2,32,1011,66,2.5,199,df (11),
129,4/28/2023 9:19,TH-21,Ban Khai,Rayong,Thailand,99,p2,32,1012,71,1.81,204,df (11),
130,4/28/2023 9:20,TH-50,Chiang Mai,Chiang Mai,Thailand,123,p2,31,984,56,2.57,140,df (11),
131,4/28/2023 9:20,TH-52,Hang Chat,Lampang,Thailand,155,p2,33,1011,34,0.84,203,df (11),
132,4/28/2023 5:15,TH-10,Phra Nakhon,Bangkok,Thailand,83,p2,29,1008,62,3.09,201,df (12),1.0
133,4/28/2023 5:15,TH-11,Bang Phli,Samut Prakan,Thailand,78,p2,28,1008,83,2.06,60,df (12),2.0
134,4/28/2023 5:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,80,p2,29,1009,76,2.57,80,df (12),3.0
135,4/28/2023 5:16,TH-13,Khlong Luang,Pathum Thani,Thailand,77,p2,28,1009,87,2.57,80,df (12),4.0
136,4/28/2023 5:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,130,p2,26,1008,76,1.31,197,df (12),5.0
137,4/28/2023 5:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,127,p2,26,1008,77,1.57,181,df (12),6.0
138,4/28/2023 5:18,TH-16,Ban Mi,Lop Buri,Thailand,95,p2,28,1008,78,1.9,184,df (12),7.0
139,4/28/2023 5:19,TH-20,Na Kluea,Chon Buri,Thailand,76,p2,29,1008,78,2.31,205,df (12),8.0
140,4/28/2023 5:19,TH-21,Ban Khai,Rayong,Thailand,89,p2,28,1009,83,0.86,253,df (12),9.0
141,4/28/2023 5:20,TH-50,Chiang Mai,Chiang Mai,Thailand,114,p2,26,1010,69,2.06,250,df (12),10.0
142,4/28/2023 5:20,TH-52,Hang Chat,Lampang,Thailand,132,p2,24,1009,77,0.34,268,df (12),11.0
143,4/28/2023 6:15,TH-10,Phra Nakhon,Bangkok,Thailand,83,p2,29,1009,64,2.68,193,df (12),12.0
